asset_id,asset_type,worth
1,house,1469133
2,car,85004
3,house,532943
4,car,80522
5,house,500698
6,car,90109
7,house,770164
8,car,47587
9,house,1142018
10,car,80270
11,car,36881
12,car,93616
13,car,21664
14,car,82999
15,car,94343
16,car,61461
17,house,838017
18,house,1493645
19,car,45946
20,car,42638
21,car,61969
22,car,14787
23,car,39581
24,car,74752
25,car,14458
26,car,33804
27,house,1038244
28,house,450503
29,car,97518
30,house,1236593
31,car,89947
32,house,685160
33,car,37433
34,car,61963
35,car,26829
36,house,315695
37,car,95159
38,car,48877
39,house,845618
40,car,39229
41,car,67615
42,car,13956
43,car,71045
44,car,82717
45,car,34107
46,car,99522
47,car,67420
48,car,86408
49,car,80483
50,car,51593
51,car,11758
52,house,409418
53,car,91872
54,car,34121
55,car,35546
56,car,31203
57,car,32650
58,car,13723
59,car,45938
60,car,38836
61,car,23536
62,car,76969
63,car,23729
64,car,75846
65,car,76943
66,car,31161
67,car,30838
68,car,98330
69,car,49737
70,car,28389
71,car,71893
72,car,22698
73,car,33108
74,car,56565
75,car,23647
76,car,27175
77,car,20453
78,car,53898
79,car,10900
80,car,43571
81,car,68259
82,car,60048
83,car,61203
84,car,36842
85,car,75296
86,car,29189
87,car,21982
88,car,27206
89,car,74137
90,car,45391
91,car,32102
92,car,11370
93,car,51274
94,car,15722
95,car,14175
96,car,14723
97,car,94214
98,car,65462
99,car,41828
100,car,52402
101,car,86435
102,car,51478
103,house,304828
104,car,77840
105,car,18095
106,house,1423202
107,car,85103
108,car,57264
109,car,53633
110,house,994125
111,car,66173
112,car,13675
113,car,28401
114,house,380838
115,car,47621
116,car,16660
117,car,98670
118,car,99509
119,car,31717
120,car,68572
121,car,96233
122,car,29009
123,car,78659
124,car,87707
125,car,95517
126,house,252598
127,car,54075
128,car,60042
129,car,39018
130,car,13009
131,car,18243
132,house,1463198
133,car,78234
134,car,54231
135,car,67258
136,car,96181
137,car,27228
138,car,50917
139,car,74687
140,car,94392
141,car,90400
142,car,57864
143,house,180271
144,car,39320
145,car,12658
146,car,99593
147,car,21356
148,house,463053
149,house,864823
150,car,71611
151,car,55603
152,house,697451
153,car,59725
154,car,90166
155,house,591743
156,car,52021
157,car,43201
158,car,44297
159,house,1101530
160,car,71211
161,car,99776
162,car,13611
163,car,53411
164,car,57389
165,car,14147
166,car,33983
167,car,46819
168,house,1166142
169,car,17812
170,car,86438
171,car,24354
172,house,313896
173,car,87142
174,car,85792
175,car,75146
176,car,56406
177,car,34019
178,car,97892
179,house,686991
180,car,72887
181,car,21154
182,car,66971
183,car,16266
184,car,22154
185,car,59360
186,car,86397
187,house,1155487
188,car,42788
189,car,64155
190,car,57117
191,car,99747
192,car,89701
193,car,69298
194,car,46966
195,house,1132815
196,car,71883
197,car,35262
198,car,46160
199,car,47005
200,car,77808
201,car,38587
202,car,66043
203,house,1378367
204,car,74198
205,car,22955
206,car,82907
207,car,57554
208,car,72788
209,house,926528
210,car,81550
211,house,1076258
212,car,54142
213,house,832855
214,car,70605
215,car,25910
216,car,71444
217,car,57705
218,car,92347
219,house,439534
220,car,66137
221,car,66939
222,car,95733
223,car,68149
224,car,40222
225,car,64937
226,car,35275
227,car,46961
228,car,16878
229,car,77470
230,car,76201
231,car,39004
232,house,413038
233,car,72231
234,car,16784
235,house,935479
236,car,42618
237,house,1370058
238,car,32731
239,car,32597
240,car,87380
241,car,17155
242,car,33847
243,house,256992
244,car,24988
245,car,55694
246,car,41617
247,car,57932
248,car,22497
249,car,54544
250,house,192175
251,car,94640
252,car,90218
253,car,32886
254,house,1362662
255,car,38580
256,house,840666
257,car,75897
258,car,15275
259,car,84361
260,house,1234329
261,car,18414
262,car,73518
263,car,22241
264,car,71827
265,car,22959
266,car,10007
267,house,1101791
268,car,23963
269,car,95318
270,car,98292
271,car,47100
272,car,60960
273,car,32403
274,car,36392
275,car,87368
276,car,24962
277,car,95006
278,car,47769
279,car,63464
280,house,690069
281,car,57979
282,car,81050
283,car,30245
284,house,489473
285,car,92840
286,car,36179
287,car,36154
288,car,37388
289,car,24044
290,car,66262
291,car,50328
292,car,60395
293,car,55232
294,car,66522
295,car,13988
296,house,698198
297,house,814066
298,car,29956
299,car,15205
300,car,13503
301,car,54512
302,car,40170
303,car,31692
304,car,65612
305,house,560246
306,car,14230
307,car,58947
308,car,46887
309,car,76544
310,car,78170
311,car,47584
312,car,51880
313,car,29981
314,house,736255
315,car,61451
316,house,641489
317,car,35969
318,car,92257
319,car,33172
320,car,39344
321,house,1278628
322,car,79306
323,house,604729
324,car,64078
325,car,28745
326,car,89942
327,car,34297
328,house,740838
329,car,10739
330,car,91745
331,car,71095
332,car,23752
333,car,64614
334,house,958957
335,car,10477
336,car,43318
337,car,80529
338,car,20165
339,car,94080
340,car,49758
341,car,60644
342,car,36854
343,car,99074
344,house,1141765
345,car,90490
346,house,687251
347,car,54534
348,car,63543
349,house,277744
350,car,88691
351,car,19731
352,car,24691
353,car,84574
354,car,21305
355,car,92623
356,car,76168
357,house,558119
358,house,944070
359,car,12787
360,car,16053
361,car,79485
362,house,481022
363,car,27215
364,car,73131
365,car,98717
366,car,60624
367,car,97833
368,car,68889
369,car,91871
370,car,78726
371,car,27984
372,car,25464
373,house,1192427
374,car,86093
375,car,97942
376,house,1223820
377,car,80601
378,car,89704
379,car,49385
380,car,85006
381,car,93429
382,car,28646
383,house,1413759
384,car,38601
385,car,77539
386,car,27660
387,house,552381
388,house,825984
389,car,73569
390,car,66513
391,car,63005
392,car,19908
393,car,35559
394,car,30499
395,car,66017
396,car,42039
397,car,98461
398,car,45614
399,car,87929
400,car,37842
401,car,70142
402,car,42128
403,car,75389
404,car,27172
405,car,92124
406,house,116493
407,car,69726
408,car,43762
409,car,68580
410,car,70683
411,house,757555
412,car,53999
413,car,70828
414,car,32582
415,car,71992
416,car,41184
417,car,62993
418,car,37525
419,car,61493
420,car,65413
421,car,18494
422,car,92875
423,car,11792
424,car,75286
425,car,39271
426,house,842905
427,car,71518
428,car,75961
429,car,74427
430,car,81075
431,house,197636
432,car,42809
433,house,229778
434,car,89931
435,car,42132
436,car,27887
437,car,42273
438,car,33918
439,house,611397
440,car,92456
441,car,89647
442,car,76930
443,car,13464
444,car,67338
445,car,99504
446,car,83241
447,car,86628
448,car,20409
449,house,206433
450,car,32307
451,car,20670
452,car,87906
453,car,99664
454,car,87821
455,car,49478
456,car,52086
457,car,77629
458,car,71419
459,house,721545
460,car,33557
461,house,300923
462,car,35034
463,car,37609
464,car,84543
465,car,40986
466,car,10745
467,car,31702
468,car,59467
469,car,82693
470,car,79530
471,car,29646
472,car,41120
473,car,28549
474,car,71367
475,car,19200
476,car,78957
477,car,45762
478,car,10400
479,car,10714
480,car,29772
481,car,41630
482,car,50489
483,house,1102436
484,car,96936
485,car,16812
486,car,99464
487,car,61320
488,car,17812
489,car,73501
490,car,93234
491,car,10986
492,house,1472470
493,house,229330
494,car,42007
495,car,14904
496,car,37601
497,car,39141
498,car,10362
499,house,322612
500,car,84849
501,car,24812
502,house,1203922
503,car,26253
504,car,85893
505,car,83119
506,car,27391
507,car,86544
508,car,91394
509,car,39086
510,car,34637
511,car,29020
512,car,25157
513,car,60410
514,car,31706
515,car,24536
516,car,49797
517,car,27416
518,car,66873
519,car,53454
520,car,56878
521,car,73627
522,car,67773
523,car,62442
524,car,83284
525,car,66411
526,car,20719
527,house,987974
528,house,346926
529,car,65671
530,house,570333
531,car,93215
532,car,25344
533,car,17683
534,car,88640
535,car,15815
536,car,86566
537,house,430276
538,car,18603
539,car,66953
540,house,1333659
541,car,64029
542,car,61783
543,car,94213
544,car,82496
545,car,51041
546,car,81436
547,car,81541
548,car,86423
549,car,70433
550,car,23411
551,car,35792
552,car,38267
553,car,20826
554,car,37448
555,car,66573
556,car,66035
557,car,35375
558,car,16589
559,car,15243
560,car,53727
561,car,76323
562,car,44360
563,car,73331
564,house,1309138
565,car,23419
566,car,75911
567,car,40324
568,car,30328
569,car,66538
570,car,35632
571,car,55918
572,car,38362
573,car,74288
574,car,48721
575,car,54735
576,car,61444
577,car,89376
578,house,375468
579,car,31521
580,car,13792
581,house,1015707
582,car,40471
583,car,52900
584,car,27582
585,car,65884
586,car,40096
587,car,78835
588,car,23726
589,car,85154
590,house,1419374
591,car,83243
592,car,16075
593,car,65291
594,car,32844
595,car,92174
596,car,42408
597,car,36815
598,car,47050
599,car,40278
600,car,39904
601,car,68265
602,car,30760
603,car,78652
604,car,95800
605,car,58554
606,car,57448
607,house,216762
608,car,45382
609,car,10935
610,car,50991
611,car,46373
612,car,63182
613,car,57495
614,car,47428
615,house,1177069
616,car,52342
617,car,35706
618,car,20446
619,car,40369
620,car,56667
621,car,15704
622,house,1267518
623,house,752417
624,car,21774
625,car,97601
626,car,11345
627,car,22977
628,car,28174
629,house,1198990
630,car,83315
631,car,54829
632,car,47802
633,car,46398
634,car,15374
635,car,56226
636,car,10370
637,car,53609
638,car,51660
639,car,92199
640,car,35361
641,car,90909
642,car,99325
643,car,31846
644,car,13263
645,house,873479
646,car,77117
647,car,34215
648,car,42360
649,car,35882
650,car,36470
651,car,73038
652,car,91545
653,car,88148
654,car,28518
655,car,58312
656,car,73715
657,car,84977
658,car,72542
659,car,85026
660,car,31696
661,car,86321
662,car,56016
663,car,80935
664,house,864611
665,car,30180
666,car,98658
667,house,690236
668,car,69836
669,car,93756
670,car,79000
671,car,62233
672,car,14983
673,car,64864
674,car,34235
675,car,60487
676,car,28004
677,car,87207
678,car,66661
679,car,72938
680,car,62594
681,car,94252
682,house,1125340
683,house,526371
684,car,29091
685,car,75377
686,house,377007
687,house,1182558
688,car,68253
689,car,41007
690,house,560030
691,car,63240
692,house,735793
693,car,80653
694,car,48031
695,house,498119
696,house,680142
697,car,83091
698,car,39391
699,car,33922
700,car,50847
701,house,1159392
702,car,53204
703,car,94363
704,car,23161
705,car,31261
706,car,53969
707,car,69104
708,car,27171
709,car,94936
710,car,64399
711,car,48993
712,house,133573
713,car,31928
714,car,21879
715,car,38457
716,car,50948
717,car,76914
718,car,32423
719,car,56607
720,car,41970
721,car,89273
722,car,74144
723,car,88782
724,house,1303557
725,car,34385
726,car,72648
727,car,60067
728,car,50992
729,car,33308
730,house,378302
731,house,377428
732,car,76788
733,car,65142
734,house,773140
735,car,98103
736,car,83690
737,house,1078027
738,car,22172
739,house,791540
740,car,42239
741,house,1159535
742,house,1084261
743,car,66485
744,car,13537
745,car,31322
746,car,23867
747,house,196775
748,house,881271
749,house,1210282
750,car,68397
751,car,68329
752,car,58335
753,car,66116
754,house,1258615
755,car,67739
756,car,87827
757,car,19390
758,car,59823
759,car,46621
760,car,84563
761,car,16103
762,car,17940
763,car,37698
764,car,80997
765,car,68691
766,car,44812
767,car,70482
768,car,22322
769,car,32472
770,car,47124
771,house,620938
772,house,1075988
773,car,50341
774,car,24824
775,car,98072
776,car,58961
777,house,234423
778,car,42543
779,car,13101
780,car,16880
781,house,322941
782,car,35008
783,car,58667
784,car,25607
785,car,72515
786,car,21622
787,car,24943
788,car,19847
789,house,752684
790,car,45495
791,car,73427
792,car,37179
793,house,1128283
794,car,11919
795,house,981088
