company_id,company_name,num_employees
1,Davis-Tyler,93400
2,Torres-Gordon,103660
3,Bird-Mcintosh,262870
4,"Dunlap, Mccoy and Reid",295599
5,"Johnson, Smith and Graham",76161
6,Duran-Elliott,180245
7,Rodriguez-Arnold,40058
8,"Howell, Bennett and Williams",161766
9,Hernandez-Rogers,287953
10,"Kelly, Fox and Meyer",83476
11,"Smith, Smith and Pearson",192996
12,"Walsh, Brooks and Carpenter",227854
13,Thomas and Sons,259113
14,Campbell PLC,190265
15,Morris-Boyd,199250
16,Becker-Mathews,30840
17,"Riggs, Yang and Atkins",88354
18,Zimmerman-Wilson,288856
19,"Alvarado, Johnson and Lee",150167
20,Butler Group,185527
21,Shannon Inc,19585
22,"Robertson, Swanson and Jacobs",52054
23,"Henderson, Booth and Tran",85819
24,"Clark, Gonzalez and Quinn",89713
25,Harris and Sons,60569
26,"Mendez, Sandoval and Ramirez",73488
27,Wilson and Sons,175231
28,Daugherty Group,278778
29,Coleman Group,28108
30,"Dawson, Pacheco and Rogers",31002
31,"Walker, Wilson and Gillespie",57874
32,"Aguirre, Manning and Washington",239162
33,Lewis-Davis,287083
34,Garrett Ltd,77190
35,Shepherd and Sons,65983
36,Villegas-Weeks,281462
37,Richard-Miller,121271
38,Lee Group,282035
39,Griffin Group,158752
40,"Hayes, Davis and Thompson",91975
41,Moore Group,109066
42,Weber-Fowler,176531
43,"Hamilton, Adams and Tran",219890
44,Bennett-Clark,150011
45,Garcia-Burch,217083
46,Strickland-Campbell,71073
47,Lopez PLC,296864
48,Hancock-Patrick,236141
49,"Arnold, Gilbert and Jackson",229761
50,Roberts-Jennings,77082
51,Davis Ltd,117007
52,Diaz Ltd,42455
53,Nielsen Inc,78413
54,Robertson-Adams,193370
55,"Foster, Moses and Leonard",258147
56,Johnson PLC,176537
57,"Huang, Garcia and Dixon",271414
58,Black LLC,39515
59,"Williams, Sanders and Liu",257157
60,Roman-Melton,251062
61,Wells LLC,227063
62,"Collins, Fox and Smith",196632
63,Owens Group,168281
64,Woodward-Thompson,252263
65,"Thomas, Mann and Washington",223930
66,"Robinson, Pearson and Roberts",125182
67,Clark-Morgan,249024
68,"Woods, Villegas and Henderson",112441
69,"Cook, Walker and Mclean",219178
70,Fitzgerald-Davis,5643
71,Lewis Group,91490
72,Johnson-Turner,126318
73,Thompson-Ortiz,53692
74,Gordon Inc,264265
75,"Duncan, Scott and Le",27081
76,Mckenzie-Ball,155657
77,Butler-Stein,138309
78,"Shaw, Delgado and Day",13605
79,Miller PLC,276235
80,"Lang, Griffin and Bradley",189717
81,"Watts, Morgan and Ritter",235894
82,"Cole, Cabrera and Martin",7770
83,"Williams, Stout and Glenn",279215
84,Watson Inc,165758
85,"Sutton, Hopkins and Castaneda",44070
86,Wright LLC,624
87,Randall LLC,50960
88,"Hernandez, Miller and Hunt",124265
89,Lee-Jones,83123
90,Buchanan-Gonzalez,53746
91,Osborne LLC,28222
92,Hamilton Inc,97390
93,Cooper-Christensen,78425
94,Walker Inc,104190
95,"Davis, Kelly and Alexander",1992
96,Mcfarland-Moss,283491
97,"Duarte, Benjamin and Watkins",10267
98,House-Keller,238955
99,Moore-Salinas,278532
100,Smith-Harris,233479
101,Cooper-Norris,141154
102,Larsen-Boyd,20421
103,Ray and Sons,175038
104,Sanchez LLC,199338
105,"Cohen, Bass and Weber",264977
106,Franklin-Mccarthy,42365
107,Reyes and Sons,285730
108,Bell Group,78392
109,Price Group,168095
110,Porter-Moore,52226
111,"Hopkins, Wong and Davis",136039
112,"Reed, Bailey and Morrow",260753
113,Pruitt-Moore,29867
114,"Jones, Berger and Herrera",261052
115,"Knight, Tucker and Archer",102729
116,"Branch, Mcguire and Leonard",54167
117,White-Bishop,101070
118,Snyder-Gonzalez,28174
119,Griffin Ltd,283384
120,Allen-Elliott,43722
121,Davis and Sons,237830
122,Fields Inc,181831
123,Salazar Group,61698
124,Jimenez LLC,130826
125,"Richards, Williams and Rogers",296289
126,Green-Vance,33077
127,"Davis, Andrade and Parker",289386
128,"Garcia, Richardson and Delacruz",158597
129,Berry Ltd,281357
130,Ramirez-Brennan,141108
131,"Boone, Rodgers and Gibson",66931
132,"Walter, Stone and Owens",182524
133,Gutierrez-Hess,279859
134,Rocha LLC,204849
135,"Joseph, Newton and Garcia",48543
136,"Smith, Atkins and Caldwell",152463
137,Phillips and Sons,55008
138,"Newton, Turner and Frazier",154146
139,Warner-Riley,255250
140,Cochran PLC,105140
141,Evans-Berry,292358
142,Adkins and Sons,7630
143,Mcmillan-Thompson,148201
144,Taylor-Salinas,33667
145,Coleman and Sons,116284
146,Warner-Wagner,72358
147,"Saunders, Tucker and Becker",125600
148,Figueroa Ltd,37098
149,Robbins LLC,114773
150,Jefferson Inc,3344
151,Ho Group,192522
152,Wolf Group,76375
153,Taylor LLC,81079
154,Torres Ltd,171247
155,"Hoover, Smith and Benjamin",61329
156,"Simmons, Murillo and Hernandez",83553
157,Moore LLC,258703
158,"Butler, Reid and Fleming",212864
159,"Carter, Watson and Butler",154851
160,"Young, Goodwin and Bradley",38194
161,Romero LLC,192624
162,Smith Ltd,56800
163,Perez-Mueller,160567
164,"Garza, Price and Chapman",189714
165,"Hughes, Rogers and Collins",141008
166,"Austin, Jefferson and Brown",95757
167,"Allen, Vazquez and Garza",204526
168,"Taylor, Knapp and Mccoy",113206
169,Turner Ltd,267368
170,Reed-Walker,241836
171,Horn-Williamson,296782
172,Robinson PLC,40705
173,Brown Ltd,223749
174,Brown and Sons,113492
175,Cummings-Wells,34056
176,Murillo-Hernandez,121933
177,Wall-Jacobson,184308
178,Chavez Inc,178835
179,"Lloyd, Garcia and Wood",29353
180,Hendrix Group,238371
181,Matthews Ltd,109794
182,Bullock-Martinez,85947
183,"Green, Koch and Fernandez",132010
184,Pham PLC,254415
185,Thomas Inc,46894
186,"Ayers, Perez and Arroyo",255868
187,Henderson-Miller,183699
188,Haney-Harvey,5631
189,"Taylor, Wright and Hinton",269280
190,Green-Hill,161050
191,"Simmons, Faulkner and Davies",137727
192,Douglas PLC,267089
193,Evans-Wheeler,233734
194,Warner Group,250351
195,Velasquez-Chaney,56073
196,Lee Group,149384
197,Fuller-Marshall,55542
198,"Callahan, Cook and Young",137891
199,Martinez PLC,41684
200,"Jackson, Fry and Meyers",188407
201,Combs-Wheeler,263899
202,Choi PLC,257833
203,Greene-George,178143
204,"Serrano, Reyes and Silva",41646
205,Miller-Calhoun,108799
206,Hughes and Sons,5297
207,Dillon PLC,14813
208,Andrews PLC,46203
209,Smith and Sons,254977
210,"Gonzalez, Cruz and Mueller",184739
211,"Nguyen, Mcfarland and Hayes",183666
212,Winters-Gonzalez,287572
213,"Leblanc, Bauer and Jones",286195
214,Jackson-Browning,212701
215,Hale Group,19184
216,Moore-Love,224213
217,"Steele, Perry and Lee",277220
218,Rodriguez Inc,286752
219,"Lamb, Mcclure and Martinez",111253
220,Martin-Wilson,177964
221,Larsen LLC,218332
222,Valenzuela-Sims,131158
223,Tucker-Chambers,187265
224,"Schwartz, Shaw and Freeman",7692
225,Martin LLC,272471
226,Young-Stephens,9031
227,Hernandez Ltd,230516
