job_id,job_title,avg_income
1,Magistrate,56583
2,Web_designer,58883
3,Police_officer,52707
4,Engineer,57433
5,Hotel_Manager,60591
6,Statistician,60133
7,Air_traffic_controller,59717
8,Graphic_Designer,57904
9,Chartered_Accountant,60794
10,Computer_hardware_engineer,60942
11,Secretary,61720
12,Scientist,64513
13,Comedian,61463
14,Analyst,58144
15,Mechanical_engineer,62827
16,Software_Developer,57598
17,Microbiologist,58586
18,Computer_operator,62322
19,Geologist,57813
20,Civil_servant,58979
21,Chemical_engineer,63643
22,Technician,60292
23,Surgeon,61988
24,Official,55071
25,Physician,58153
26,Dentist,58282
27,Chef,58908
28,Financial_Analyst,60355
29,Technology_specialist,59416
30,Designer,62153
31,Army_officer,60460
32,Biomedical_Engineer,58870
33,Aviator,61121
34,Technical_writer,59623
35,Economist,57385
36,Petroleum_Engineer,64245
37,Psychologist,64216
38,Drafter,54082
39,Industrial_Engineer,60703
40,Civil_engineer,56664
41,Artist,61199
42,Firefighter,58255
43,Librarian,59878
44,Design_Engineer,58551
45,Flight_attendant,54808
46,Architect,59030
47,Fashion_Designer,60686
48,Consultant,62839
49,Politician,59455
50,Surveyor,61241
51,Lawyer,61272
