loan_id,user_id,reason,loan_amount,balance_paid,date_created
1,9,Large Purchases,2140,1348,2017-11-23
1,9,Wedding Costs,158393,47220,2011-12-03
2,14,Large Purchases,152405,50211,2022-09-04
3,15,Credit Score Improvement,50214,30423,2010-06-08
4,18,Business Startup,152637,9782,2018-04-22
4,18,Holiday Shopping,168029,109323,2023-01-31
5,19,Lifestyle Changes,8005,7746,2019-02-12
5,19,Seasonal Expenses,41134,7510,2010-01-15
5,19,Moving Expenses,100057,79352,2014-10-03
6,20,Personal Projects,90654,32552,2014-04-08
6,20,Charitable Contributions,189828,123652,2020-09-17
7,22,Investment Opportunities,180329,126560,2013-06-09
7,22,Travel and Vacation,124907,86552,2019-09-10
8,25,Insurance Premiums,154080,131457,2016-08-20
8,25,Debt Consolidation,44829,16979,2021-02-20
8,25,Holiday Shopping,192730,108029,2011-01-24
9,33,Adoption Costs,147060,142287,2018-03-31
10,38,Wedding Costs,33403,25104,2021-03-14
10,38,Adoption Costs,62178,49258,2015-04-08
10,38,Funeral Costs,21896,15456,2017-09-06
11,44,Other,90746,42724,2015-02-14
12,50,Lifestyle Changes,73562,26340,2024-02-12
13,54,Vehicle Purchase,89840,71167,2019-12-21
14,55,Seasonal Expenses,103283,64741,2021-11-04
15,56,Lifestyle Changes,45613,16551,2015-06-05
15,56,Credit Score Improvement,133482,106428,2016-08-17
15,56,Technology Purchase,195352,113307,2021-09-08
16,59,Emergency Expenses,78869,21891,2021-06-06
16,59,Personal Projects,30318,15910,2010-09-13
16,59,Renewable Energy Installations,59044,16168,2019-06-08
17,61,Other,88633,86746,2011-05-09
17,61,Special Occasions,139940,109197,2010-10-21
17,61,Lifestyle Changes,105213,73508,2017-06-16
18,63,Conservation Projects,171688,82129,2012-09-09
18,63,Personal Projects,65546,10957,2010-03-03
18,63,Charitable Contributions,101206,2259,2011-04-01
19,66,Wedding Costs,68776,7607,2013-02-21
19,66,Medical Expenses,21976,20499,2018-09-20
20,77,Holiday Shopping,173454,100280,2019-09-16
20,77,Home Purchase,175643,6349,2018-01-11
21,78,Moving Expenses,179144,84579,2011-08-30
21,78,Legal Fees,139294,111345,2014-09-05
21,78,Debt Consolidation,84297,10422,2015-02-20
22,79,Emergency Expenses,62358,60797,2015-04-20
22,79,Adoption Costs,33255,25282,2016-02-12
23,82,Vehicle Purchase,180260,31699,2012-02-13
23,82,Credit Score Improvement,51609,15608,2024-02-14
23,82,Personal Projects,128564,69794,2023-05-12
24,89,Funeral Costs,126281,94401,2021-09-20
24,89,Seasonal Expenses,154105,123550,2014-01-23
24,89,Large Purchases,182438,174904,2015-03-15
25,90,Business Startup,103124,15073,2017-12-16
26,93,Credit Score Improvement,199022,48015,2016-05-11
26,93,Home Renovation,85140,51980,2013-12-07
26,93,Business Startup,18739,3208,2013-07-20
27,97,Legal Fees,127989,108318,2011-11-04
28,103,Conservation Projects,187759,114390,2021-07-30
29,104,Adoption Costs,142837,126461,2011-08-04
29,104,Legal Settlements,44283,16288,2022-06-22
29,104,Seasonal Expenses,184004,136826,2015-04-13
30,107,Lifestyle Changes,137879,34063,2018-05-04
31,108,Adoption Costs,12550,4086,2016-02-29
31,108,Business Expansion,90765,59226,2013-11-19
31,108,Home Purchase,66448,29389,2014-02-12
32,111,Charitable Contributions,189999,76325,2024-07-06
33,112,Conservation Projects,66668,36258,2012-07-06
33,112,Seasonal Expenses,10222,6806,2019-11-22
33,112,Vehicle Purchase,27936,1117,2016-04-24
34,114,Special Occasions,115003,74268,2017-10-27
34,114,Seasonal Expenses,162751,133424,2024-02-25
35,126,Appliance Purchase,126281,13533,2013-02-19
36,128,Home Purchase,122195,33793,2014-06-09
36,128,Renewable Energy Installations,9364,6621,2011-01-22
36,128,Charitable Contributions,118316,19736,2020-11-07
37,136,Legal Settlements,134453,33667,2021-08-20
37,136,Insurance Premiums,46823,45171,2021-09-14
37,136,Technology Purchase,103610,29543,2010-06-12
38,144,Other,182637,136387,2012-02-05
38,144,Vehicle Purchase,92313,58940,2011-06-29
39,145,Insurance Premiums,81244,12845,2013-04-26
39,145,Holiday Shopping,54639,399,2016-02-23
39,145,Home Purchase,43244,23516,2011-03-07
40,150,Conservation Projects,32019,893,2018-11-16
40,150,Appliance Purchase,190342,98711,2016-04-04
40,150,Business Startup,104945,28736,2023-02-16
